Id,SalePrice
1461,117247
1462,141406
1463,184048
1464,191252
1465,168118
1466,168675
1467,166470
1468,162501
1469,176923
1470,137410
1471,163539
1472,91885
1473,94492
1474,141983
1475,98531
1476,403066
1477,270142
1478,269542
1479,283048
1480,441428
1481,317753
1482,202761
1483,183470
1484,158813
1485,171646
1486,187716
1487,349972
1488,225964
1489,206618
1490,240855
1491,196231
1492,101617
1493,173975
1494,279890
1495,268755
1496,229427
1497,166807
1498,170280
1499,151263
1500,154897
1501,165034
1502,154123
1503,302118
1504,235065
1505,224410
1506,189192
1507,254304
1508,187392
1509,164814
1510,151608
1511,148944
1512,178385
1513,136779
1514,159582
1515,191373
1516,145768
1517,157855
1518,131669
1519,212457
1520,128634
1521,128714
1522,163926
1523,118762
1524,128560
1525,116970
1526,112374
1527,124265
1528,132893
1529,151413
1530,184661
1531,82918
1532,82557
1533,154366
1534,114998
1535,152815
1536,125195
1537,59989
1538,158875
1539,204765
1540,122485
1541,133856
1542,133837
1543,202021
1544,89070
1545,112364
1546,145221
1547,121005
1548,131735
1549,128225
1550,138517
1551,109159
1552,155904
1553,147697
1554,127746
1555,150046
1556,80679
1557,108327
1558,106546
1559,79714
1560,134996
1561,144233
1562,138617
1563,122928
1564,169651
1565,161397
1566,237364
1567,78692
1568,218649
1569,137158
1570,150321
1571,118380
1572,144871
1573,243437
1574,131842
1575,226074
1576,241232
1577,190046
1578,159828
1579,148212
1580,188421
1581,159651
1582,126644
1583,277479
1584,220962
1585,133669
1586,84325
1587,110780
1588,148507
1589,113846
1590,134435
1591,88780
1592,146386
1593,143494
1594,136415
1595,95629
1596,234023
1597,193465
1598,194217
1599,171711
1600,163572
1601,64402
1602,116585
1603,99577
1604,258074
1605,225455
1606,157167
1607,170027
1608,216253
1609,170038
1610,149218
1611,120966
1612,179729
1613,157640
1614,117220
1615,89564
1616,78079
1617,99944
1618,124572
1619,143878
1620,187329
1621,142972
1622,137574
1623,262075
1624,204546
1625,121220
1626,154859
1627,194732
1628,266291
1629,171492
1630,394683
1631,204886
1632,237311
1633,160610
1634,184025
1635,174489
1636,157916
1637,197016
1638,186588
1639,188808
1640,241286
1641,183570
1642,232466
1643,214545
1644,228128
1645,197736
1646,158457
1647,154092
1648,130512
1649,141141
1650,119245
1651,123897
1652,97273
1653,105912
1654,139243
1655,131022
1656,132834
1657,145703
1658,141254
1659,108152
1660,163457
1661,399838
1662,398976
1663,359061
1664,442024
1665,308692
1666,323570
1667,376888
1668,350347
1669,287991
1670,338472
1671,240895
1672,400619
1673,271616
1674,250316
1675,192231
1676,183903
1677,220998
1678,457285
1679,370594
1680,340341
1681,262006
1682,308063
1683,197497
1684,174348
1685,171660
1686,168319
1687,159147
1688,193054
1689,194698
1690,187793
1691,180224
1692,247121
1693,163517
1694,173050
1695,163548
1696,255210
1697,167982
1698,333479
1699,320543
1700,245556
1701,256424
1702,255422
1703,240996
1704,250786
1705,232366
1706,424550
1707,234415
1708,222414
1709,272806
1710,219139
1711,267328
1712,282153
1713,251778
1714,217970
1715,203700
1716,183578
1717,174607
1718,141699
1719,198993
1720,237395
1721,163417
1722,123084
1723,156988
1724,218089
1725,228427
1726,195084
1727,155277
1728,179733
1729,165126
1730,168010
1731,123327
1732,125116
1733,117650
1734,120367
1735,125570
1736,122999
1737,311798
1738,245023
1739,282371
1740,230116
1741,183249
1742,175548
1743,178319
1744,319347
1745,232582
1746,181000
1747,194475
1748,245372
1749,153674
1750,131360
1751,243763
1752,124283
1753,151788
1754,197304
1755,159815
1756,135308
1757,122861
1758,146730
1759,164250
1760,166917
1761,149272
1762,180945
1763,157891
1764,121233
1765,166478
1766,175774
1767,222552
1768,140435
1769,171413
1770,151255
1771,120105
1772,138067
1773,121766
1774,130452
1775,140615
1776,129983
1777,118022
1778,132729
1779,122589
1780,170104
1781,124382
1782,96202
1783,170925
1784,138085
1785,126397
1786,139038
1787,166342
1788,56909
1789,107352
1790,87302
1791,185258
1792,156533
1793,130960
1794,150050
1795,127278
1796,128148
1797,120387
1798,117743
1799,112479
1800,132426
1801,135272
1802,131053
1803,154244
1804,145116
1805,131166
1806,115092
1807,140369
1808,126761
1809,128683
1810,148415
1811,125814
1812,103086
1813,124094
1814,103562
1815,61952
1816,97327
1817,119848
1818,157449
1819,121811
1820,68490
1821,114211
1822,162890
1823,53226
1824,144607
1825,135807
1826,104486
1827,109360
1828,131954
1829,135060
1830,159014
1831,147627
1832,69425
1833,147003
1834,115520
1835,104208
1836,132713
1837,70397
1838,133363
1839,114483
1840,161219
1841,142739
1842,98502
1843,132967
1844,140265
1845,136992
1846,157879
1847,156606
1848,53822
1849,117151
1850,118899
1851,143557
1852,125573
1853,125010
1854,161291
1855,151640
1856,215957
1857,140666
1858,144985
1859,125632
1860,138701
1861,128395
1862,281386
1863,271671
1864,271702
1865,369417
1866,320531
1867,238508
1868,267074
1869,193560
1870,223020
1871,259508
1872,167484
1873,218145
1874,151484
1875,181940
1876,193943
1877,204823
1878,207602
1879,135453
1880,133893
1881,241528
1882,234239
1883,196241
1884,210318
1885,218441
1886,264941
1887,211276
1888,239421
1889,156032
1890,129263
1891,127726
1892,100963
1893,145809
1894,124451
1895,136458
1896,135216
1897,124023
1898,114635
1899,171736
1900,161375
1901,168851
1902,165646
1903,213051
1904,151197
1905,188209
1906,185216
1907,220443
1908,106336
1909,132413
1910,117645
1911,201073
1912,329684
1913,169161
1914,88631
1915,313648
1916,85659
1917,230776
1918,138101
1919,160461
1920,166307
1921,403335
1922,320483
1923,227602
1924,211266
1925,196343
1926,354240
1927,133425
1928,150592
1929,125636
1930,133745
1931,135036
1932,146939
1933,212858
1934,184318
1935,176825
1936,189262
1937,181260
1938,168538
1939,262714
1940,172787
1941,167388
1942,191763
1943,214332
1944,349676
1945,378984
1946,121103
1947,285562
1948,183986
1949,241040
1950,188466
1951,246195
1952,193153
1953,168546
1954,188955
1955,143437
1956,330930
1957,163365
1958,281635
1959,142356
1960,113451
1961,132384
1962,98082
1963,103747
1964,117362
1965,144428
1966,132385
1967,285768
1968,432749
1969,373019
1970,420674
1971,453372
1972,365867
1973,253300
1974,303808
1975,444932
1976,266151
1977,372376
1978,358454
1979,336602
1980,199477
1981,360302
1982,207368
1983,193896
1984,171030
1985,236024
1986,214618
1987,165008
1988,180151
1989,185450
1990,202268
1991,232770
1992,212992
1993,162471
1994,217776
1995,180087
1996,259224
1997,309504
1998,304489
1999,269411
2000,314843
2001,279217
2002,237269
2003,242165
2004,268349
2005,219920
2006,236924
2007,241734
2008,217206
2009,192044
2010,190454
2011,133039
2012,169874
2013,184744
2014,191151
2015,210280
2016,200038
2017,188687
2018,121746
2019,141799
2020,93570
2021,92745
2022,184482
2023,145845
2024,247474
2025,354395
2026,177760
2027,161386
2028,145509
2029,163119
2030,260702
2031,235708
2032,257244
2033,263119
2034,168415
2035,209817
2036,197651
2037,209656
2038,370894
2039,210765
2040,303067
2041,275663
2042,200232
2043,191371
2044,164668
2045,213831
2046,147512
2047,147471
2048,148368
2049,144293
2050,166373
2051,113729
2052,126219
2053,144337
2054,96659
2055,172468
2056,154712
2057,109294
2058,221852
2059,136837
2060,179953
2061,149062
2062,135000
2063,122515
2064,136668
2065,111462
2066,161527
2067,127481
2068,151863
2069,90322
2070,114350
2071,102805
2072,161590
2073,133784
2074,190989
2075,144142
2076,127633
2077,157849
2078,137317
2079,134852
2080,128068
2081,129494
2082,122752
2083,146008
2084,120559
2085,99937
2086,105222
2087,122962
2088,109847
2089,82504
2090,128119
2091,129337
2092,136341
2093,118398
2094,93743
2095,155171
2096,83633
2097,96540
2098,147327
2099,60918
2100,82623
2101,126170
2102,125287
2103,108701
2104,138320
2105,130158
2106,56853
2107,220641
2108,120768
2109,112197
2110,123258
2111,134808
2112,140091
2113,115941
2114,127803
2115,163082
2116,122920
2117,137346
2118,121979
2119,127624
2120,118760
2121,103990
2122,117274
2123,97562
2124,162383
2125,133886
2126,167767
2127,172438
2128,136247
2129,84340
2130,125632
2131,134396
2132,132495
2133,122699
2134,114925
2135,97328
2136,100145
2137,113357
2138,130185
2139,159983
2140,148913
2141,150811
2142,131700
2143,149048
2144,107418
2145,131739
2146,172497
2147,133271
2148,155382
2149,159449
2150,213636
2151,120057
2152,168010
2153,202192
2154,101813
2155,140740
2156,256349
2157,226339
2158,225880
2159,203150
2160,161995
2161,228395
2162,445955
2163,339457
2164,235022
2165,197560
2166,152367
2167,214385
2168,194046
2169,196829
2170,225201
2171,155928
2172,136792
2173,184439
2174,230037
2175,289497
2176,290489
2177,230637
2178,203416
2179,132248
2180,212054
2181,191424
2182,209342
2183,185362
2184,127458
2185,121398
2186,161127
2187,147537
2188,158813
2189,315375
2190,88322
2191,72899
2192,81251
2193,113247
2194,104300
2195,97608
2196,111209
2197,137808
2198,163117
2199,183167
2200,155181
2201,151633
2202,204086
2203,133396
2204,162004
2205,124033
2206,151338
2207,231904
2208,265328
2209,256422
2210,115774
2211,122944
2212,125663
2213,112460
2214,133434
2215,115043
2216,142705
2217,82692
2218,88109
2219,96833
2220,67098
2221,322095
2222,275455
2223,302887
2224,209992
2225,136257
2226,182447
2227,182630
2228,265892
2229,227341
2230,147510
2231,211911
2232,179516
2233,168067
2234,237250
2235,219184
2236,227510
2237,300428
2238,189131
2239,88138
2240,146348
2241,152071
2242,125721
2243,129186
2244,95679
2245,81596
2246,143779
2247,119061
2248,125845
2249,123301
2250,133806
2251,104883
2252,171871
2253,154890
2254,176392
2255,180464
2256,176085
2257,201218
2258,159800
2259,174579
2260,156815
2261,182394
2262,203731
2263,356124
2264,509666
2265,181770
2266,306410
2267,341300
2268,421629
2269,145897
2270,196464
2271,217947
2272,190159
2273,163838
2274,187111
2275,160046
2276,183126
2277,185091
2278,150339
2279,139949
2280,123666
2281,161988
2282,171263
2283,105624
2284,121541
2285,133488
2286,127891
2287,334582
2288,310718
2289,391217
2290,449507
2291,329687
2292,421881
2293,502187
2294,406395
2295,423796
2296,291877
2297,337142
2298,348498
2299,373397
2300,334151
2301,279266
2302,255414
2303,240657
2304,258899
2305,182869
2306,180135
2307,189904
2308,232150
2309,277686
2310,216232
2311,190394
2312,160075
2313,171538
2314,158483
2315,176300
2316,180321
2317,201548
2318,175059
2319,173910
2320,179661
2321,252777
2322,172169
2323,185076
2324,165371
2325,203734
2326,177186
2327,200166
2328,207871
2329,183700
2330,180113
2331,369005
2332,419730
2333,318788
2334,249339
2335,269427
2336,324356
2337,192128
2338,249157
2339,200798
2340,378589
2341,180830
2342,231037
2343,226187
2344,213484
2345,232057
2346,218526
2347,198328
2348,237662
2349,168477
2350,289283
2351,268066
2352,263176
2353,243363
2354,141534
2355,150632
2356,152458
2357,195172
2358,190191
2359,139024
2360,129231
2361,157326
2362,262854
2363,138892
2364,152552
2365,210662
2366,190150
2367,224949
2368,220933
2369,225866
2370,171649
2371,171098
2372,191216
2373,270149
2374,357235
2375,241867
2376,286523
2377,360618
2378,154714
2379,209965
2380,139145
2381,179925
2382,218385
2383,202735
2384,234800
2385,156975
2386,138093
2387,143717
2388,116218
2389,124091
2390,138962
2391,133704
2392,117558
2393,172235
2394,140508
2395,207717
2396,142933
2397,198037
2398,134378
2399,62348
2400,72330
2401,121791
2402,139250
2403,150050
2404,159996
2405,154162
2406,137488
2407,120584
2408,147752
2409,121521
2410,177962
2411,119757
2412,151105
2413,131883
2414,154496
2415,132123
2416,124072
2417,135276
2418,143494
2419,136840
2420,129941
2421,142790
2422,103749
2423,111486
2424,137795
2425,226359
2426,133452
2427,122739
2428,173994
2429,121235
